Price,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Touchscreen,rating
34649,0,0,0,0,0,0,0,0,0,0,0,0,0
38999,1,0,0,0,0,0,0,0,0,0,0,0,1
39999,1,0,0,0,0,0,0,0,0,0,0,0,1
69990,0,0,1,0,1,0,1,1,0,1,1,0,1
26990,0,0,2,1,0,0,0,2,0,0,0,0,1
22990,0,0,2,1,0,0,0,2,0,0,0,0,1
21990,0,0,2,1,0,0,0,2,0,1,0,0,1
58799,0,0,1,0,1,0,0,0,0,1,1,0,1
49999,1,0,1,0,0,0,0,0,0,1,0,0,1
59990,2,1,3,0,0,0,0,2,0,1,2,0,2
93700,2,1,3,0,0,0,0,2,0,1,3,0,2
72990,2,1,3,0,0,0,0,2,0,1,2,0,2
17490,3,0,2,1,0,0,0,2,0,0,0,0,1
35990,0,0,0,2,0,0,2,1,0,0,0,0,1
56490,4,0,0,2,1,0,2,1,0,0,0,1,1
65390,4,0,1,2,1,0,2,1,0,0,0,0,1
31999,1,0,2,1,0,0,2,1,0,0,0,0,2
32490,4,0,2,1,1,0,2,1,0,0,0,0,2
31799,1,0,2,1,0,0,2,1,0,0,0,0,1
29890,0,0,2,1,0,0,2,1,0,0,0,0,2
23990,0,0,2,1,0,0,0,0,0,0,0,0,1
32955,4,0,0,3,0,0,0,0,0,0,0,0,2
46200,4,0,1,3,0,0,0,0,0,1,1,0,2
34429,0,0,0,2,0,0,2,1,0,0,0,0,2
37990,1,0,0,0,1,0,2,1,0,1,0,0,2
35990,0,0,0,2,0,0,2,1,0,1,0,0,2
33980,0,0,0,0,1,0,2,1,0,0,0,0,2
39990,4,0,0,2,1,0,2,1,0,0,0,0,2
39490,5,0,0,0,1,0,2,1,0,0,0,0,2
53990,4,0,0,2,1,0,2,1,0,0,0,1,2
38990,2,0,0,2,1,0,2,1,0,0,0,0,1
37990,0,0,0,2,1,0,2,1,0,0,0,0,2
37890,0,0,0,2,1,0,2,1,0,0,0,0,2
38990,1,0,0,2,1,0,2,1,0,0,0,0,2
37990,1,0,0,0,1,0,2,1,0,0,0,0,2
41990,5,0,0,2,1,0,2,1,0,0,0,0,1
45990,0,0,0,2,1,0,2,1,0,0,0,0,2
39990,1,0,0,2,1,0,2,1,0,0,0,0,2
42490,5,0,0,2,1,0,2,1,0,0,0,0,2
36990,5,0,0,0,0,0,2,1,0,0,0,0,2
53990,1,0,0,2,1,0,2,1,0,0,0,1,2
36990,0,0,0,2,1,0,2,1,0,0,0,0,2
38940,1,0,0,0,0,0,2,1,0,0,0,0,2
39490,5,0,0,0,0,0,2,1,0,0,0,0,2
39999,1,0,0,0,1,0,2,1,0,0,0,0,3
42990,5,0,0,2,1,0,2,1,0,0,0,0,2
49990,5,0,0,2,1,0,2,1,0,0,0,1,2
41490,5,0,0,2,1,0,2,1,0,0,0,0,2
41990,5,0,0,2,1,0,2,1,0,0,0,0,2
41990,1,0,0,2,1,0,2,1,0,0,0,0,2
38490,0,0,0,2,1,0,2,1,0,0,0,0,1
38990,1,0,0,2,0,0,2,1,0,0,0,0,2
44990,1,0,0,2,0,0,2,1,0,0,0,0,2
36490,1,0,0,0,0,0,2,1,0,0,0,0,1
38970,1,0,0,0,1,0,2,1,0,1,0,0,1
44900,4,0,0,2,0,0,2,1,0,0,0,0,2
38990,6,0,0,0,0,0,2,1,0,0,0,0,2
44427,5,0,0,2,0,0,2,1,0,0,0,0,1
35990,0,0,0,0,0,0,2,1,0,0,0,0,1
40200,1,0,0,0,0,0,2,1,0,0,0,0,1
40990,1,0,0,0,0,0,2,1,0,1,0,0,1
42490,5,0,0,0,0,0,2,1,0,0,0,0,1
23990,2,0,2,1,0,0,0,2,0,1,0,0,1
71999,5,0,0,2,0,0,2,1,0,0,0,1,2
39990,0,0,0,2,0,0,2,1,0,0,0,0,2
41998,1,0,0,0,0,0,2,1,0,0,0,0,2
41990,0,0,0,2,0,0,2,1,0,1,0,0,1
39999,1,0,0,0,0,0,2,1,0,0,0,0,1
39990,0,0,0,0,0,0,2,1,0,1,0,0,1
39998,1,0,0,2,0,0,2,1,0,0,0,0,2
42490,4,0,0,2,0,0,2,1,0,0,0,0,2
41990,1,0,0,0,0,0,2,1,0,1,0,0,1
48490,0,0,0,2,0,0,2,1,0,1,0,0,1
44376,4,0,0,2,0,0,2,1,0,0,0,0,2
43900,5,0,0,2,0,0,2,1,0,1,0,0,1
46690,5,0,0,2,0,0,2,1,0,0,0,0,1
40990,1,0,0,0,0,0,2,1,0,1,0,0,3
39990,5,0,0,0,0,0,2,1,0,0,0,0,2
43990,1,0,0,2,0,0,2,1,0,0,0,0,1
36990,0,0,0,2,0,0,2,1,0,0,0,0,2
48500,5,0,0,2,1,0,2,1,0,0,0,0,1
48990,0,0,0,2,1,0,2,1,0,0,0,0,1
23490,0,0,2,1,0,1,0,2,0,1,0,0,2
54238,4,0,0,4,0,0,2,1,0,0,0,1,2
37990,0,0,0,0,1,0,1,1,0,0,0,0,2
42990,4,0,0,2,1,0,1,1,0,0,0,0,2
42990,4,0,0,2,1,0,1,1,0,0,0,0,2
35990,0,0,0,0,0,0,1,1,0,0,0,0,2
42990,0,0,0,2,1,0,1,1,0,0,0,0,2
51990,0,0,0,2,1,2,1,1,0,1,0,1,2
48990,0,0,0,2,1,0,1,1,0,0,0,0,2
42990,0,0,0,2,1,0,1,1,0,0,0,0,2
38990,1,0,0,0,1,0,1,1,0,0,0,0,1
45990,5,0,0,2,1,0,1,1,0,0,0,0,2
42490,4,0,0,0,1,0,1,1,0,0,0,0,2
43970,4,0,0,2,1,0,1,1,0,0,0,0,2
39990,0,0,0,0,0,0,1,1,0,0,0,0,2
48990,6,0,0,2,1,0,1,1,0,0,0,0,2
54990,4,0,0,2,1,0,1,1,0,0,0,0,2
40990,6,0,0,0,1,0,1,1,0,0,0,0,2
41990,0,0,0,2,1,0,1,1,0,0,0,0,1
54990,1,0,0,2,1,0,1,1,0,0,0,1,2
44990,0,0,0,2,1,0,1,1,0,0,0,0,2
41250,4,0,0,2,1,0,1,1,0,0,0,0,2
44990,4,0,0,2,1,0,1,1,0,0,0,0,1
42990,0,0,0,2,1,0,1,1,0,0,0,0,2
60790,5,0,0,2,1,0,1,1,0,0,0,1,2
45650,4,0,0,2,1,0,1,1,0,0,0,0,2
41990,5,0,0,0,1,0,1,1,0,0,0,0,1
45490,5,0,0,0,1,0,1,1,0,0,0,0,2
44990,0,0,0,2,1,0,1,1,0,0,0,0,1
42990,1,0,0,2,1,0,1,1,0,0,0,0,2
45490,4,0,0,2,0,0,1,1,0,0,0,0,2
38799,4,0,0,0,0,0,1,1,0,1,0,0,2
69267,4,0,0,2,0,0,1,1,0,0,0,1,1
51649,0,0,0,2,0,0,1,1,0,0,0,0,1
47990,4,0,0,2,0,0,1,1,0,0,0,0,2
40990,0,0,0,0,0,0,1,1,0,0,0,0,2
42990,0,0,0,0,0,0,1,1,0,0,0,0,2
44890,0,0,0,2,0,0,1,1,0,0,0,0,1
41490,0,0,0,0,0,0,1,1,0,0,0,0,2
50990,4,0,0,2,0,0,1,1,0,1,0,0,1
48900,4,0,0,2,0,0,1,1,0,0,0,0,2
41790,5,0,0,0,0,0,1,1,0,0,0,0,1
57999,1,0,0,2,0,0,1,1,0,0,0,1,1
45930,5,0,0,2,1,0,1,1,0,0,0,0,1
55490,4,0,0,2,1,0,1,1,0,0,0,1,2
32890,0,0,0,0,1,0,0,0,0,0,0,0,1
35990,1,0,0,0,1,0,0,0,0,0,0,0,2
42490,5,0,0,2,1,0,0,0,0,0,0,0,2
42190,5,0,0,2,1,0,0,0,0,0,0,0,1
39490,5,0,0,0,1,0,0,0,0,0,0,0,2
43690,4,0,0,2,1,0,0,0,0,0,0,0,2
35990,0,0,0,0,0,0,0,0,0,0,0,0,1
43800,5,0,0,2,1,0,0,0,0,1,0,0,2
38990,1,0,0,0,1,0,0,0,0,1,0,0,1
34990,0,0,0,0,0,0,0,0,0,0,0,0,1
38900,0,0,0,2,1,0,0,0,0,0,0,0,1
39990,5,0,0,0,0,0,0,0,0,0,0,0,1
40890,5,0,0,0,0,0,0,0,0,1,0,0,2
36990,1,0,0,0,0,0,0,0,0,0,0,0,1
